,dteday,lm_predications,predicted_lvl_1_cnt,cnt
0,2012-10-06,141.10131788253784,141.10131788253784,191
1,2012-10-06,121.21313428878784,121.21313428878784,141
2,2012-10-06,114.94409132003784,114.94409132003784,75
3,2012-10-06,87.23014211654663,87.23014211654663,56
4,2012-10-06,67.55045461654663,67.55045461654663,11
5,2012-10-06,67.32047414779663,67.32047414779663,10
6,2012-10-06,73.04044485092163,73.04044485092163,30
7,2012-10-06,78.68668508529663,78.68668508529663,84
8,2012-10-06,240.69565725326538,240.69565725326538,206
9,2012-10-06,327.2462592124939,327.2462592124939,395
10,2012-10-06,453.4713912010193,453.4713912010193,539
11,2012-10-06,502.4651265144348,502.4651265144348,647
12,2012-10-06,574.7654747962952,574.7654747962952,743
13,2012-10-06,537.9570918083191,537.9570918083191,710
14,2012-10-06,538.7689700126648,538.7689700126648,576
15,2012-10-06,555.6387634277344,555.6387634277344,620
16,2012-10-06,552.2839970588684,552.2839970588684,659
17,2012-10-06,493.22973346710205,493.22973346710205,610
18,2012-10-06,428.923855304718,428.923855304718,495
19,2012-10-06,353.2157301902771,353.2157301902771,341
20,2012-10-06,303.1603813171387,303.1603813171387,247
21,2012-10-06,168.85241985321045,168.85241985321045,215
22,2012-10-06,147.98842477798462,147.98842477798462,185
23,2012-10-06,123.68300485610962,123.68300485610962,179
24,2012-10-07,117.23573923110962,117.23573923110962,127
25,2012-10-07,95.89020204544067,95.89020204544067,109
26,2012-10-07,85.37469005584717,85.37469005584717,74
27,2012-10-07,52.92030954360962,52.92030954360962,22
28,2012-10-07,31.167301654815674,31.167301654815674,11
29,2012-10-07,33.353336811065674,33.353336811065674,10
30,2012-10-07,36.286930561065674,36.286930561065674,23
31,2012-10-07,45.84825849533081,45.84825849533081,35
32,2012-10-07,87.33800506591797,87.33800506591797,62
33,2012-10-07,142.8831810951233,142.8831810951233,86
34,2012-10-07,368.2303967475891,368.2303967475891,185
35,2012-10-07,409.75025272369385,409.75025272369385,336
