windspeed,yr,temp,RushHour-Low,hum,cnt,relative_windspeed,relative_hum,atemp,workingday,isNoon,isDaylight,relative_temp,holiday,relative_atemp,RushHour-Med,RushHour-High,s_fall,s_spring,s_summer,s_winter,w_Acceptable,w_Bad,w_Chaos,w_Good,m_1,m_2,m_3,m_4,m_5,m_6,m_7,m_8,m_9,m_10,m_11,m_12,w_0,w_6,h_0,h_1,h_2,h_3,h_4,h_5,h_6,h_7,h_8,h_9,h_10,h_11,h_12,h_13,h_14,h_15,h_16,h_17,h_18,h_19,h_20,h_21,h_22,h_23,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,dteday,registered,casual
0.0,0,0.22,1,0.8,2,-0.4082482904638631,0.7925939239012157,0.2727,0,0,0,-1.2909944487358103,0,-0.41067112397624744,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7603023058681397,1.7603023058681397,1.7603023058681397,1.7603023058681397,2.2003023058681395,0.22,1.7603023058681397,0.7603023058681397,0.9803023058681397,2.9803023058681397,2.9803023058681397,2.9803023058681397,0.9803023058681397,1.9803023058681397,1.7603023058681397,2011-01-01,0,2
0.0,0,0.2,1,0.86,3,-0.37796447300922725,2.828427124746191,0.2576,0,0,0,-2.939873661036667,0,-1.6975643452549214,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7403023058681397,1.7403023058681397,1.7403023058681397,1.7403023058681397,2.14030230586814,0.2,1.7403023058681397,0.7403023058681397,0.9403023058681398,2.9403023058681397,2.9403023058681397,2.9403023058681397,0.9403023058681398,1.9403023058681397,1.7403023058681397,2011-01-01,2,1
0.0,0,0.24,0,0.75,8,-0.35355339059327373,-1.0377490433255419,0.2879,0,0,1,0.8400268812903083,0,1.0497175802303889,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.24,2.24,2.24,2.24,2.7199999999999998,0.24,2.24,1.24,1.48,3.4800000000000004,3.4800000000000004,3.4800000000000004,1.48,2.48,2.24,2011-01-01,7,1
0.0,0,0.32,0,0.76,14,-0.3333333333333333,-0.6647843099684926,0.3485,0,0,1,6.270696725795358,0,5.732372433829176,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3200000000000003,2.3200000000000003,2.3200000000000003,2.3200000000000003,2.96,0.32,2.3200000000000003,1.32,1.6400000000000001,3.6400000000000006,3.6400000000000006,3.6400000000000006,1.6400000000000001,2.64,2.3200000000000003,2011-01-01,6,8
0.2537,0,0.38,0,0.76,36,8.637676724884031,-0.619388588862349,0.3939,0,0,1,4.4510437419793,0,4.284211616477041,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5403023058681398,2.5403023058681398,2.5403023058681398,2.5403023058681398,3.4606046117362794,0.9999999999999999,2.5403023058681398,2.0,1.9203023058681397,4.0806046117362795,4.0806046117362795,4.0806046117362795,2.38,3.5403023058681398,2.5403023058681398,2011-01-01,24,12
0.2836,0,0.36,0,0.81,56,3.213729945629365,0.8102434340134084,0.3333,0,0,1,2.080625946441196,0,0.9649337257129253,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.4503023058681395,2.3603023058681396,2.3603023058681396,2.3603023058681396,3.1840311971449955,0.8199999999999997,2.4503023058681395,1.8199999999999998,1.7337288912768563,3.900604611736279,3.900604611736279,3.900604611736279,2.1934265854087167,3.360302305868139,2.4503023058681395,2011-01-01,30,26
0.2836,0,0.42,0,0.77,84,2.2144369194999345,-0.37827163638621913,0.4242,0,1,1,2.7080128015453186,0,3.1030615151141943,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.6103023058681396,2.6803023058681394,2.6803023058681394,2.6803023058681394,3.700161711973944,1.1399999999999997,2.6103023058681396,2.1399999999999997,2.0898594061058042,4.220604611736279,4.220604611736279,4.220604611736279,2.5495571002376645,3.6803023058681394,2.6103023058681396,2011-01-01,55,29
0.2985,0,0.46,0,0.72,94,1.922404665094024,-1.8353086946398187,0.4545,0,0,1,2.6105590043165683,0,2.797839312663992,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.7403023058681395,2.9403023058681397,2.9403023058681397,2.9403023058681397,4.110767755272464,1.4,2.7403023058681395,2.4,2.3704654494043247,4.480604611736279,4.480604611736279,4.480604611736279,2.830163143536185,3.9403023058681397,2.7403023058681395,2011-01-01,47,47
0.2836,0,0.46,0,0.72,106,1.5233450166466598,-1.5798242922198846,0.4545,0,0,1,2.0415509743421785,0,2.133942821915816,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.7403023058681395,2.9403023058681397,2.9403023058681397,2.9403023058681397,4.110767755272464,1.4,2.7403023058681395,2.4,2.3704654494043247,4.480604611736279,4.480604611736279,4.480604611736279,2.830163143536185,3.9403023058681397,2.7403023058681395,2011-01-01,71,35
0.2985,0,0.44,0,0.77,110,1.4766099967752813,-0.10437883709948845,0.4394,0,0,1,1.5214905732253594,0,1.5830077832643887,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.6503023058681396,2.7603023058681395,2.7603023058681395,2.7603023058681395,3.834194340681181,1.2199999999999998,2.6503023058681396,2.2199999999999998,2.1838920348130415,4.300604611736279,4.300604611736279,4.300604611736279,2.6435897289449013,3.7603023058681395,2.6503023058681396,2011-01-01,70,40
0.2985,0,0.42,0,0.82,93,1.3385203631207743,1.2487843420416154,0.4242,0,0,0,1.1683835032002021,0,1.2178164531521265,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.56030230586814,2.58030230586814,2.58030230586814,2.58030230586814,3.557620926089898,1.04,2.56030230586814,2.04,1.9973186202217583,4.12060461173628,4.12060461173628,4.12060461173628,2.4570163143536186,3.58030230586814,2.56030230586814,2011-01-01,52,41
0.2836,0,0.44,0,0.82,67,1.1289222365749214,1.1585149385075277,0.4394,0,0,0,1.2936219214875835,0,1.3334812244827003,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.60030230586814,2.66030230586814,2.66030230586814,2.66030230586814,3.691653554797135,1.12,2.60030230586814,2.12,2.091351248928995,4.20060461173628,4.20060461173628,4.20060461173628,2.551048943060856,3.66030230586814,2.60030230586814,2011-01-01,52,15
0.2537,0,0.42,0,0.88,35,0.8510502264431039,2.6700923757137174,0.4242,0,0,0,1.0011785507920339,0,1.0376464806838996,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.9603023058681397,1.9603023058681397,1.9603023058681397,1.9603023058681397,2.8003023058681396,0.42,1.9603023058681397,1.42,1.8399999999999999,2.9206046117362794,2.9206046117362794,2.9206046117362794,1.8399999999999999,2.3803023058681396,1.9603023058681397,2011-01-01,26,9
0.2537,0,0.42,0,0.88,37,0.8133800161144149,2.201970953107538,0.4242,0,0,0,0.9498155432769292,0,0.9824867081885866,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.42,2.42,2.42,2.42,3.84,0.42,2.42,1.42,2.42,3.84,3.84,3.84,2.42,2.84,2.42,2011-01-01,31,6
0.2537,0,0.4,0,0.87,36,0.7803777367718293,1.70703108325964,0.4091,0,0,0,0.7044633820976206,0,0.7390680160705777,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.4,2.4,2.4,2.4,3.2,0.4,2.4,1.4,1.8,3.8,3.8,3.8,1.8,2.8,2.4,2011-01-01,25,11
0.19399999999999998,0,0.4,1,0.87,34,0.321807177003362,1.5580668880290158,0.4091,0,0,0,0.6799417994728418,0,0.7124720850930812,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.9403023058681397,1.9403023058681397,1.9403023058681397,1.9403023058681397,2.7403023058681395,0.4,1.9403023058681397,0.9403023058681398,1.3403023058681398,3.3403023058681396,3.3403023058681396,3.3403023058681396,1.3403023058681398,2.3403023058681396,1.9403023058681397,2011-01-01,31,3
0.2239,0,0.4,1,0.94,28,0.5337870020536766,2.8141309334072955,0.4091,0,0,0,0.6578451527041997,0,0.6885904175820944,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.9403023058681397,1.9403023058681397,1.9403023058681397,1.9403023058681397,2.7403023058681395,0.4,1.9403023058681397,0.9403023058681398,1.3403023058681398,3.3403023058681396,3.3403023058681396,3.3403023058681396,1.3403023058681398,2.3403023058681396,1.9403023058681397,2011-01-01,17,11
0.2985,0,0.46,1,0.88,39,1.076922361833226,1.3304243298577474,0.4545,0,0,0,1.2664798580475163,0,1.279644297866998,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.0003023058681397,2.0003023058681397,2.0003023058681397,2.0003023058681397,2.9203023058681397,0.46,2.0003023058681397,1.0003023058681397,1.4603023058681397,3.4603023058681397,3.4603023058681397,3.4603023058681397,1.4603023058681397,2.4603023058681397,2.0003023058681397,2011-01-01,24,15
0.2985,0,0.46,1,0.88,17,1.0295594275759437,1.2561185388689058,0.4545,0,0,0,1.1997809517005766,0,1.2114257398003319,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0003023058681397,2.0003023058681397,2.0003023058681397,2.0003023058681397,2.9203023058681397,0.46,2.0003023058681397,1.0003023058681397,1.4603023058681397,3.4603023058681397,3.4603023058681397,3.4603023058681397,1.4603023058681397,2.4603023058681397,2.0003023058681397,2011-01-02,13,4
0.2537,0,0.44,1,0.94,17,0.6540347323934381,2.1986082243370313,0.4394,0,0,0,0.9372061634704956,0,0.9535873270660119,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9803023058681397,1.9803023058681397,1.9803023058681397,1.9803023058681397,2.8603023058681396,0.44,1.9803023058681397,0.9803023058681397,1.4203023058681397,3.4203023058681397,3.4203023058681397,3.4203023058681397,1.4203023058681397,2.4203023058681397,1.9803023058681397,2011-01-02,16,1
0.2836,0,0.42,1,1.0,9,0.8619909377786135,2.9141317481894697,0.4242,0,0,0,0.6978046478679023,0,0.7177947173475128,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9603023058681397,1.9603023058681397,1.9603023058681397,1.9603023058681397,2.8003023058681396,0.42,1.9603023058681397,0.9603023058681397,1.3803023058681396,3.3803023058681396,3.3803023058681396,3.3803023058681396,1.3803023058681396,2.3803023058681396,1.9603023058681397,2011-01-02,8,1
0.19399999999999998,0,0.46,1,0.94,6,0.15494876444917852,1.6526968900035421,0.4545,0,0,0,1.0955462604005073,0,1.1034870860598645,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0003023058681397,2.0003023058681397,2.0003023058681397,2.0003023058681397,2.9203023058681397,0.46,2.0003023058681397,1.0003023058681397,1.4603023058681397,3.4603023058681397,3.4603023058681397,3.4603023058681397,1.4603023058681397,2.4603023058681397,2.0003023058681397,2011-01-02,4,2
0.19399999999999998,0,0.46,1,0.94,3,0.15219338838921953,1.547536498856084,0.4545,0,0,0,1.0533545815121657,0,1.0606608179950912,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0003023058681397,2.0003023058681397,2.0003023058681397,2.0003023058681397,2.9203023058681397,0.46,2.0003023058681397,1.0003023058681397,1.4603023058681397,3.4603023058681397,3.4603023058681397,3.4603023058681397,1.4603023058681397,2.4603023058681397,2.0003023058681397,2011-01-02,1,2
0.2985,0,0.42,1,0.77,2,0.9715233190394682,-0.7755241610182404,0.4242,0,0,0,0.6008600819757834,0,0.6189549697795863,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9603023058681397,1.9603023058681397,1.9603023058681397,1.9603023058681397,2.8003023058681396,0.42,1.9603023058681397,0.9603023058681397,1.3803023058681396,3.3803023058681396,3.3803023058681396,3.3803023058681396,1.3803023058681396,2.3803023058681396,1.9603023058681397,2011-01-02,2,0
0.19399999999999998,0,0.4,1,0.76,1,0.11737318074932984,-0.8876246414364655,0.4091,0,0,0,0.3776545389898978,0,0.40159359056964117,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9403023058681397,1.9403023058681397,1.9403023058681397,1.9403023058681397,2.7403023058681395,0.4,1.9403023058681397,0.9403023058681398,1.3403023058681398,3.3403023058681396,3.3403023058681396,3.3403023058681396,1.3403023058681398,2.3403023058681396,1.9403023058681397,2011-01-02,1,0
0.2239,0,0.4,0,0.71,8,0.3550077697862261,-1.5274572047665234,0.4091,0,0,1,0.37083853954364837,0,0.3942234300995624,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,2.4,2.4,2.4,3.2,0.4,2.4,1.4,1.8,3.8,3.8,3.8,1.8,2.8,2.4,2011-01-02,8,0
0.2239,0,0.38,0,0.76,20,0.34888946429746714,-0.7986087350563181,0.3939,0,0,1,0.1484511436694835,0,0.1767214549618097,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.38,2.38,2.38,2.38,3.1399999999999997,0.38,2.38,1.38,1.76,3.76,3.76,3.76,1.76,2.76,2.38,2011-01-02,19,1
0.2239,0,0.36,0,0.81,53,0.3430779435820412,-0.12321977813346215,0.3485,0,0,1,-0.07310281373576148,0,-0.4645310014499705,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4503023058681395,2.3603023058681396,2.3603023058681396,2.3603023058681396,3.1840311971449955,0.8199999999999997,2.4503023058681395,1.8199999999999998,1.7337288912768563,3.900604611736279,3.900604611736279,3.900604611736279,2.1934265854087167,3.360302305868139,2.4503023058681395,2011-01-02,46,7
0.2537,0,0.36,0,0.71,70,0.5864776301772804,-1.4531473854574455,0.3333,0,0,1,-0.07204700015090269,0,-0.6727647590421214,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.5503023058681396,2.5603023058681393,2.5603023058681393,2.5603023058681393,3.4691127689130887,1.0199999999999996,2.5503023058681396,2.0199999999999996,1.9188104630449492,4.100604611736279,4.100604611736279,4.100604611736279,2.3785081571768094,3.5603023058681393,2.5503023058681396,2011-01-02,54,16
0.2985,0,0.36,0,0.66,93,0.9533318106336334,-2.0460989583049685,0.3333,0,1,1,-0.07103560537624275,0,-0.6589955845467312,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.6003023058681394,2.660302305868139,2.660302305868139,2.660302305868139,3.6116535547971345,1.1199999999999992,2.6003023058681394,2.119999999999999,2.011351248928995,4.200604611736279,4.200604611736279,4.200604611736279,2.4710489430608553,3.660302305868139,2.6003023058681394,2011-01-02,73,20
0.1343,0,0.36,0,0.66,75,-0.45916271087913413,-1.9073634542710414,0.3485,0,0,1,-0.07006560285157114,0,-0.42601888408301863,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.6003023058681394,2.660302305868139,2.660302305868139,2.660302305868139,3.6116535547971345,1.1199999999999992,2.6003023058681394,2.119999999999999,2.011351248928995,4.200604611736279,4.200604611736279,4.200604611736279,2.4710489430608553,3.660302305868139,2.6003023058681394,2011-01-02,64,11
0.19399999999999998,0,0.36,0,0.76,59,0.058385051103811,-0.5781643213716694,0.3485,0,0,1,-0.06913424678129927,0,-0.4193281597946329,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.9003023058681396,1.9003023058681396,1.9003023058681396,1.9003023058681396,2.62030230586814,0.36,1.9003023058681396,1.3599999999999999,1.72,2.8006046117362793,2.8006046117362793,2.8006046117362793,1.72,2.26030230586814,1.9003023058681396,2011-01-02,55,4
0.1642,0,0.34,0,0.81,74,-0.2005199258551149,0.04519391665912494,0.3333,0,0,1,-0.30397390342921937,0,-0.6380662206901463,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.8803023058681398,1.8803023058681398,1.8803023058681398,1.8803023058681398,2.56030230586814,0.34,1.8803023058681398,1.34,1.6800000000000002,2.7606046117362797,2.7606046117362797,2.7606046117362797,1.6800000000000002,2.22030230586814,1.8803023058681398,2011-01-02,55,19
0.1642,0,0.34,0,0.71,76,-0.1978962923421451,-1.1984999938399459,0.3333,0,0,0,-0.2997909309558268,0,-0.6267003877321288,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.8803023058681398,1.8803023058681398,1.8803023058681398,1.8803023058681398,2.56030230586814,0.34,1.8803023058681398,1.34,1.6800000000000002,2.7606046117362797,2.7606046117362797,2.7606046117362797,1.6800000000000002,2.22030230586814,1.8803023058681398,2011-01-02,67,9
